,alpha,beta,l1,l2,cum_gain
380,0.1,1.5,1.0,0.5,-0.4474265658914902
381,0.1,1.5,1.0,1.0,-0.42855553856017164
382,0.1,1.5,1.0,1.5,-0.4560460553261581
383,0.1,1.5,1.0,2.0,-0.41361405098976656
384,0.1,1.5,1.5,0.05,-0.424025163617535
385,0.1,1.5,1.5,0.1,-0.424025163617535
386,0.1,1.5,1.5,0.5,-0.38164336863880355
387,0.1,1.5,1.5,1.0,-0.3950295191245052
388,0.1,1.5,1.5,1.5,-0.360799996798156
389,0.1,1.5,1.5,2.0,-0.3616100296162731
390,0.1,1.5,2.0,0.05,-0.44767570098621345
391,0.1,1.5,2.0,0.1,-0.44767570098621345
392,0.1,1.5,2.0,0.5,-0.45588252271907237
393,0.1,1.5,2.0,1.0,-0.4565720612223612
394,0.1,1.5,2.0,1.5,-0.5024134568592434
395,0.1,1.5,2.0,2.0,-0.46787184641503765
396,0.1,2.0,0.05,0.05,-0.4905818738774275
397,0.1,2.0,0.05,0.1,-0.3977052120967008
398,0.1,2.0,0.05,0.5,-0.41183294356600114
399,0.1,2.0,0.05,1.0,-0.41625707096931513
400,0.1,2.0,0.05,1.5,-0.39167431779481987
401,0.1,2.0,0.05,2.0,-0.3619496691293654
402,0.1,2.0,0.1,0.05,-0.479800108093576
403,0.1,2.0,0.1,0.1,-0.479800108093576
404,0.1,2.0,0.1,0.5,-0.37448050297711466
405,0.1,2.0,0.1,1.0,-0.3080768908667656
406,0.1,2.0,0.1,1.5,-0.302309331524739
407,0.1,2.0,0.1,2.0,-0.31210860132192714
408,0.1,2.0,0.5,0.05,-0.45907777385731247
409,0.1,2.0,0.5,0.1,-0.45825306005627664
410,0.1,2.0,0.5,0.5,-0.41846359525682797
411,0.1,2.0,0.5,1.0,-0.3717615968802673
412,0.1,2.0,0.5,1.5,-0.38586149665956165
413,0.1,2.0,0.5,2.0,-0.37036705487997473
414,0.1,2.0,1.0,0.05,-0.4645933263042619
415,0.1,2.0,1.0,0.1,-0.4645933263042619
416,0.1,2.0,1.0,0.5,-0.42103660091246886
417,0.1,2.0,1.0,1.0,-0.3785137141370402
418,0.1,2.0,1.0,1.5,-0.3898860824773437
419,0.1,2.0,1.0,2.0,-0.3603287433910105
420,0.1,2.0,1.5,0.05,-0.2566556564041698
421,0.1,2.0,1.5,0.1,-0.2566556564041698
422,0.1,2.0,1.5,0.5,-0.29325011865040046
423,0.1,2.0,1.5,1.0,-0.29325011865040046
424,0.1,2.0,1.5,1.5,-0.28215723051006164
425,0.1,2.0,1.5,2.0,-0.31792618703998377
426,0.1,2.0,2.0,0.05,-0.3428095535499295
427,0.1,2.0,2.0,0.1,-0.3428095535499295
428,0.1,2.0,2.0,0.5,-0.3588718924838517
429,0.1,2.0,2.0,1.0,-0.3459085225890079
430,0.1,2.0,2.0,1.5,-0.3634704806131259
431,0.1,2.0,2.0,2.0,-0.38352701841105535
