,alpha,beta,l1,l2,cum_gain
279,0.1,0.1,1.5,1.0,0.48546638754720456
280,0.1,0.1,1.5,1.5,0.450118750244465
281,0.1,0.1,1.5,2.0,0.3108135029352048
282,0.1,0.1,2.0,0.05,0.41665169869327356
283,0.1,0.1,2.0,0.1,0.41665169869327356
284,0.1,0.1,2.0,0.5,0.4091728040005777
285,0.1,0.1,2.0,1.0,0.46827898041103355
286,0.1,0.1,2.0,1.5,0.46611791057118335
287,0.1,0.1,2.0,2.0,0.4970362551213267
288,0.1,0.5,0.05,0.05,0.7977072310405636
289,0.1,0.5,0.05,0.1,0.7977072310405636
290,0.1,0.5,0.05,0.5,0.7977072310405636
291,0.1,0.5,0.05,1.0,0.7977072310405636
292,0.1,0.5,0.05,1.5,0.7977072310405636
293,0.1,0.5,0.05,2.0,0.7977072310405636
294,0.1,0.5,0.1,0.05,0.7977072310405636
295,0.1,0.5,0.1,0.1,0.7977072310405636
296,0.1,0.5,0.1,0.5,0.7977072310405636
297,0.1,0.5,0.1,1.0,0.7977072310405636
298,0.1,0.5,0.1,1.5,0.7977072310405636
299,0.1,0.5,0.1,2.0,0.7977072310405636
300,0.1,0.5,0.5,0.05,0.5664913138827175
301,0.1,0.5,0.5,0.1,0.5802288924417541
302,0.1,0.5,0.5,0.5,0.5285174614922088
303,0.1,0.5,0.5,1.0,0.49460797516507865
304,0.1,0.5,0.5,1.5,0.5377337071822075
305,0.1,0.5,0.5,2.0,0.49508100568514324
306,0.1,0.5,1.0,0.05,0.5492401499756376
307,0.1,0.5,1.0,0.1,0.5611577135745622
308,0.1,0.5,1.0,0.5,0.5070643156226766
309,0.1,0.5,1.0,1.0,0.5070643156226766
310,0.1,0.5,1.0,1.5,0.44622317416883506
311,0.1,0.5,1.0,2.0,0.4269111424869412
312,0.1,0.5,1.5,0.05,0.3227894717777522
313,0.1,0.5,1.5,0.1,0.3227894717777522
314,0.1,0.5,1.5,0.5,0.3466349747840578
315,0.1,0.5,1.5,1.0,0.29938464902999246
316,0.1,0.5,1.5,1.5,0.2472892969582317
317,0.1,0.5,1.5,2.0,0.2147050150998644
318,0.1,0.5,2.0,0.05,0.1479028036244557
319,0.1,0.5,2.0,0.1,0.16746308323193076
320,0.1,0.5,2.0,0.5,0.09121471140836114
321,0.1,0.5,2.0,1.0,0.03257992213355777
322,0.1,0.5,2.0,1.5,0.06648500445882666
323,0.1,0.5,2.0,2.0,0.18037496717979576
324,0.1,1.0,0.05,0.05,0.7977072310405636
325,0.1,1.0,0.05,0.1,0.7977072310405636
326,0.1,1.0,0.05,0.5,0.7977072310405636
327,0.1,1.0,0.05,1.0,0.7977072310405636
328,0.1,1.0,0.05,1.5,0.7977072310405636
329,0.1,1.0,0.05,2.0,0.7977072310405636
330,0.1,1.0,0.1,0.05,0.7977072310405636
331,0.1,1.0,0.1,0.1,0.7977072310405636
332,0.1,1.0,0.1,0.5,0.7977072310405636
333,0.1,1.0,0.1,1.0,0.7977072310405636
334,0.1,1.0,0.1,1.5,0.7977072310405636
335,0.1,1.0,0.1,2.0,0.7977072310405636
336,0.1,1.0,0.5,0.05,0.40776072628766347
337,0.1,1.0,0.5,0.1,0.40776072628766347
338,0.1,1.0,0.5,0.5,0.40776072628766347
339,0.1,1.0,0.5,1.0,0.40934023210275405
340,0.1,1.0,0.5,1.5,0.3557023809337059
341,0.1,1.0,0.5,2.0,0.4209098082637468
342,0.1,1.0,1.0,0.05,0.1520642951759175
343,0.1,1.0,1.0,0.1,0.1520642951759175
344,0.1,1.0,1.0,0.5,0.12372081800652424
345,0.1,1.0,1.0,1.0,0.15293194614946448
346,0.1,1.0,1.0,1.5,0.05693112672676025
347,0.1,1.0,1.0,2.0,0.12724671927184208
348,0.1,1.0,1.5,0.05,0.24677411281864353
349,0.1,1.0,1.5,0.1,0.24437440638124217
350,0.1,1.0,1.5,0.5,0.23259771505840474
351,0.1,1.0,1.5,1.0,0.2535935040912992
352,0.1,1.0,1.5,1.5,0.2091706852677214
353,0.1,1.0,1.5,2.0,0.13812604533364956
354,0.1,1.0,2.0,0.05,0.2055062176955896
355,0.1,1.0,2.0,0.1,0.21244356168592285
356,0.1,1.0,2.0,0.5,0.14950801122110388
357,0.1,1.0,2.0,1.0,0.12201561006315759
358,0.1,1.0,2.0,1.5,0.2295825187852097
359,0.1,1.0,2.0,2.0,0.3344767729933622
360,0.1,1.5,0.05,0.05,0.6220791404697704
361,0.1,1.5,0.05,0.1,0.6220791404697704
362,0.1,1.5,0.05,0.5,0.5599081412688136
363,0.1,1.5,0.05,1.0,0.5302620931103064
364,0.1,1.5,0.05,1.5,0.46632243117633804
365,0.1,1.5,0.05,2.0,0.4993404404633287
366,0.1,1.5,0.1,0.05,0.6220791404697704
367,0.1,1.5,0.1,0.1,0.6220791404697704
368,0.1,1.5,0.1,0.5,0.5599081412688136
369,0.1,1.5,0.1,1.0,0.5781566421876143
370,0.1,1.5,0.1,1.5,0.4607197328840075
371,0.1,1.5,0.1,2.0,0.4993404404633287
372,0.1,1.5,0.5,0.05,0.3246819577227081
373,0.1,1.5,0.5,0.1,0.2931026150916639
374,0.1,1.5,0.5,0.5,0.2641428190138881
375,0.1,1.5,0.5,1.0,0.25875987211287077
376,0.1,1.5,0.5,1.5,0.2089059933307011
377,0.1,1.5,0.5,2.0,0.19725557252021797
378,0.1,1.5,1.0,0.05,0.19424595264906516
379,0.1,1.5,1.0,0.1,0.2039426128739261
380,0.1,1.5,1.0,0.5,0.18204548413273838
381,0.1,1.5,1.0,1.0,0.1209567620890301
382,0.1,1.5,1.0,1.5,0.10141069234048095
383,0.1,1.5,1.0,2.0,0.1455709946191946
384,0.1,1.5,1.5,0.05,0.23320006756186576
385,0.1,1.5,1.5,0.1,0.23320006756186576
