,alpha,beta,l1,l2,cum_gain
249,0.1,0.05,2.0,1.0,0.5247971865586445
250,0.1,0.05,2.0,1.5,0.9646970772108142
251,0.1,0.05,2.0,2.0,1.280790793169895
252,0.1,0.1,0.05,0.05,1.1455104014722428
253,0.1,0.1,0.05,0.1,1.1713658067643375
254,0.1,0.1,0.05,0.5,1.3701332317830037
255,0.1,0.1,0.05,1.0,1.2018697960870068
256,0.1,0.1,0.05,1.5,1.3450594325708132
257,0.1,0.1,0.05,2.0,1.1327046440470114
258,0.1,0.1,0.1,0.05,1.080035693631962
259,0.1,0.1,0.1,0.1,0.9535773720059538
260,0.1,0.1,0.1,0.5,1.2981832696306004
261,0.1,0.1,0.1,1.0,0.4601599470803253
262,0.1,0.1,0.1,1.5,0.5424178585020316
263,0.1,0.1,0.1,2.0,0.3187455206006943
264,0.1,0.1,0.5,0.05,1.0819193629506767
265,0.1,0.1,0.5,0.1,1.0215749088388213
266,0.1,0.1,0.5,0.5,0.5752890247609243
267,0.1,0.1,0.5,1.0,0.44799062779543103
268,0.1,0.1,0.5,1.5,0.8074971329347718
269,0.1,0.1,0.5,2.0,0.6548941485741571
270,0.1,0.1,1.0,0.05,0.7952453923883712
271,0.1,0.1,1.0,0.1,0.7361632812154734
272,0.1,0.1,1.0,0.5,0.6062491000618596
273,0.1,0.1,1.0,1.0,0.44449176322431516
274,0.1,0.1,1.0,1.5,0.7025377250812402
275,0.1,0.1,1.0,2.0,0.3053627214357118
276,0.1,0.1,1.5,0.05,0.5797920835375574
277,0.1,0.1,1.5,0.1,0.5797920835375574
278,0.1,0.1,1.5,0.5,0.46087011307742815
279,0.1,0.1,1.5,1.0,1.0523099720743665
280,0.1,0.1,1.5,1.5,0.6115843937315123
281,0.1,0.1,1.5,2.0,1.3719363705585956
282,0.1,0.1,2.0,0.05,0.7414167895864399
283,0.1,0.1,2.0,0.1,0.8419470892349356
284,0.1,0.1,2.0,0.5,0.5247971865586445
285,0.1,0.1,2.0,1.0,0.9646970772108142
286,0.1,0.1,2.0,1.5,1.280790793169895
287,0.1,0.1,2.0,2.0,1.2006434357755515
288,0.1,0.5,0.05,0.05,1.22473415695419
289,0.1,0.5,0.05,0.1,1.471981674932439
290,0.1,0.5,0.05,0.5,1.754247868102672
291,0.1,0.5,0.05,1.0,1.4629798697082972
292,0.1,0.5,0.05,1.5,1.3092271909045992
293,0.1,0.5,0.05,2.0,1.1097656242214926
294,0.1,0.5,0.1,0.05,0.5536828901742141
295,0.1,0.5,0.1,0.1,0.6346499361489506
296,0.1,0.5,0.1,0.5,0.783347921011266
297,0.1,0.5,0.1,1.0,0.5992031770460245
298,0.1,0.5,0.1,1.5,0.5636027798428883
299,0.1,0.5,0.1,2.0,1.158683860667951
300,0.1,0.5,0.5,0.05,0.5794099081409054
301,0.1,0.5,0.5,0.1,0.6569831158867017
302,0.1,0.5,0.5,0.5,0.7602508472349981
303,0.1,0.5,0.5,1.0,1.3736142194474115
304,0.1,0.5,0.5,1.5,1.185597268737503
305,0.1,0.5,0.5,2.0,1.295744392914011
306,0.1,0.5,1.0,0.05,1.3698732287097573
307,0.1,0.5,1.0,0.1,1.3252256407057987
308,0.1,0.5,1.0,0.5,1.410477195497134
309,0.1,0.5,1.0,1.0,0.9621735351511556
310,0.1,0.5,1.0,1.5,1.361870575994873
311,0.1,0.5,1.0,2.0,1.6274077377653389
312,0.1,0.5,1.5,0.05,1.1722913665963977
313,0.1,0.5,1.5,0.1,1.1724325077565978
314,0.1,0.5,1.5,0.5,1.3141725979600827
315,0.1,0.5,1.5,1.0,1.7769150722385976
316,0.1,0.5,1.5,1.5,1.738219113241692
317,0.1,0.5,1.5,2.0,1.5147443416476898
318,0.1,0.5,2.0,0.05,1.5906016731355337
319,0.1,0.5,2.0,0.1,1.422195981458808
320,0.1,0.5,2.0,0.5,1.3948282076058034
321,0.1,0.5,2.0,1.0,1.727500728676406
322,0.1,0.5,2.0,1.5,1.471873998870719
323,0.1,0.5,2.0,2.0,1.3870150731876136
324,0.1,1.0,0.05,0.05,1.2151804239117914
325,0.1,1.0,0.05,0.1,1.1252822596481569
326,0.1,1.0,0.05,0.5,0.8738941875284157
327,0.1,1.0,0.05,1.0,0.8647829478668776
328,0.1,1.0,0.05,1.5,0.7111773110248572
329,0.1,1.0,0.05,2.0,0.48400784968224303
330,0.1,1.0,0.1,0.05,1.2846979245207004
331,0.1,1.0,0.1,0.1,1.2588068677267314
332,0.1,1.0,0.1,0.5,1.0237429116789734
333,0.1,1.0,0.1,1.0,0.9351779286848341
334,0.1,1.0,0.1,1.5,0.6101977664426989
335,0.1,1.0,0.1,2.0,0.7970545075653248
336,0.1,1.0,0.5,0.05,0.931346602757167
337,0.1,1.0,0.5,0.1,0.9462163802542992
338,0.1,1.0,0.5,0.5,0.9459537451032711
339,0.1,1.0,0.5,1.0,0.4191695780597179
340,0.1,1.0,0.5,1.5,0.31629515891072096
341,0.1,1.0,0.5,2.0,0.15624184174423525
342,0.1,1.0,1.0,0.05,0.7711540296024806
343,0.1,1.0,1.0,0.1,0.8007321821351923
344,0.1,1.0,1.0,0.5,0.7708222580573773
345,0.1,1.0,1.0,1.0,0.38924815854770717
346,0.1,1.0,1.0,1.5,0.2537647119445107
347,0.1,1.0,1.0,2.0,0.5128725848216812
348,0.1,1.0,1.5,0.05,1.0471658696436001
349,0.1,1.0,1.5,0.1,0.9814238490062556
350,0.1,1.0,1.5,0.5,0.7899317445688216
351,0.1,1.0,1.5,1.0,0.544545085687256
352,0.1,1.0,1.5,1.5,0.46305414491841507
353,0.1,1.0,1.5,2.0,0.6637239874882792
354,0.1,1.0,2.0,0.05,1.1281243416288456
355,0.1,1.0,2.0,0.1,1.1424205120098583
356,0.1,1.0,2.0,0.5,0.9194900966898202
357,0.1,1.0,2.0,1.0,0.8471518313307481
358,0.1,1.0,2.0,1.5,1.208628187742973
359,0.1,1.0,2.0,2.0,1.275563536708859
360,0.1,1.5,0.05,0.05,-0.3438015542732817
361,0.1,1.5,0.05,0.1,-0.31782992092342593
362,0.1,1.5,0.05,0.5,-0.37291730711831306
363,0.1,1.5,0.05,1.0,-0.4248619926540897
364,0.1,1.5,0.05,1.5,-0.53851424589444
365,0.1,1.5,0.05,2.0,-0.6942910007961466
366,0.1,1.5,0.1,0.05,-0.251425798214595
367,0.1,1.5,0.1,0.1,-0.23832955487814225
368,0.1,1.5,0.1,0.5,-0.2825004812295436
369,0.1,1.5,0.1,1.0,-0.3430563116057947
370,0.1,1.5,0.1,1.5,-0.4977170883263988
371,0.1,1.5,0.1,2.0,-0.617776375834232
372,0.1,1.5,0.5,0.05,-0.47632231479710135
373,0.1,1.5,0.5,0.1,-0.4233062279991527
374,0.1,1.5,0.5,0.5,-0.2918135770854525
375,0.1,1.5,0.5,1.0,-0.38104496452076175
376,0.1,1.5,0.5,1.5,-0.4368006443561829
377,0.1,1.5,0.5,2.0,-0.5054080024801045
378,0.1,1.5,1.0,0.05,-0.3403057458385032
379,0.1,1.5,1.0,0.1,-0.34500651043353475
380,0.1,1.5,1.0,0.5,-0.444642865052668
381,0.1,1.5,1.0,1.0,-0.41272490362047765
382,0.1,1.5,1.0,1.5,-0.22144315122381802
383,0.1,1.5,1.0,2.0,-0.4840237259776087
384,0.1,1.5,1.5,0.05,0.15445788565592344
385,0.1,1.5,1.5,0.1,0.13626902730329052
386,0.1,1.5,1.5,0.5,-0.11686579076437283
387,0.1,1.5,1.5,1.0,-0.23871499133094323
388,0.1,1.5,1.5,1.5,-0.2811684731990265
389,0.1,1.5,1.5,2.0,-0.4886254152208359
390,0.1,1.5,2.0,0.05,0.9043760823424344
391,0.1,1.5,2.0,0.1,0.718363421435017
392,0.1,1.5,2.0,0.5,0.7030005946346364
393,0.1,1.5,2.0,1.0,0.6473885038565352
394,0.1,1.5,2.0,1.5,0.18304254139488663
395,0.1,1.5,2.0,2.0,0.05721135446954391
396,0.1,2.0,0.05,0.05,-0.6200465542618597
397,0.1,2.0,0.05,0.1,-0.6200465542618597
398,0.1,2.0,0.05,0.5,-0.6102913537391813
399,0.1,2.0,0.05,1.0,-0.6173442886337271
400,0.1,2.0,0.05,1.5,-0.6173442886337271
401,0.1,2.0,0.05,2.0,-0.6314171515104886
402,0.1,2.0,0.1,0.05,-0.5649528268697507
403,0.1,2.0,0.1,0.1,-0.5649528268697507
404,0.1,2.0,0.1,0.5,-0.5897130650131053
405,0.1,2.0,0.1,1.0,-0.6033805604909414
406,0.1,2.0,0.1,1.5,-0.5845657375915743
407,0.1,2.0,0.1,2.0,-0.5725797925339994
408,0.1,2.0,0.5,0.05,-0.5309915716688902
409,0.1,2.0,0.5,0.1,-0.5309915716688902
410,0.1,2.0,0.5,0.5,-0.5277753420086733
411,0.1,2.0,0.5,1.0,-0.538817290602932
412,0.1,2.0,0.5,1.5,-0.5244316990523357
413,0.1,2.0,0.5,2.0,-0.5206694481964581
414,0.1,2.0,1.0,0.05,-0.607923479118235
415,0.1,2.0,1.0,0.1,-0.607923479118235
416,0.1,2.0,1.0,0.5,-0.5922280083380935
417,0.1,2.0,1.0,1.0,-0.5915379265667916
418,0.1,2.0,1.0,1.5,-0.5926100452130251
419,0.1,2.0,1.0,2.0,-0.5912530059225415
420,0.1,2.0,1.5,0.05,-0.602354641455809
421,0.1,2.0,1.5,0.1,-0.602354641455809
422,0.1,2.0,1.5,0.5,-0.583063237430986
423,0.1,2.0,1.5,1.0,-0.5989293703149011
424,0.1,2.0,1.5,1.5,-0.6332666415358368
425,0.1,2.0,1.5,2.0,-0.6594455164197621
426,0.1,2.0,2.0,0.05,-0.630536849425228
427,0.1,2.0,2.0,0.1,-0.619458103160333
428,0.1,2.0,2.0,0.5,-0.5794082285043015
429,0.1,2.0,2.0,1.0,-0.5681361111073383
430,0.1,2.0,2.0,1.5,-0.552015968490189
431,0.1,2.0,2.0,2.0,-0.5671988204905116
