,DAY_NO,FTRL_OPG_CUMILATIVE_GAIN,FTRL_RDA_CUMILATIVE_GAIN,FTL_CUMILATIVE_GAIN,FTRL_EXP_RDA_CUMILATIVE_GAIN,FTRL_MOVING_RDA_CUMILATIVE_GAIN,SGD_CUMILATIVE_GAIN
527,528,0.7798656521617066,0.835761604399202,0.3792768959435627,0.06983591215645822,0.13209498336506265,0.7779620462683742
528,529,0.7828083271557423,0.8387966928968735,0.38809523809523816,0.07667585788982859,0.13933297955050514,0.7893293632319212
529,530,0.8971199326932804,0.9566982076141056,0.437830687830688,0.11525315182603753,0.180155278036401,0.853441030906326
530,531,0.8989308096126869,0.9585659543819034,0.4701940035273369,0.14035575266750666,0.2067187240369749,0.8951590841625431
531,532,0.8894092318933345,0.9419897018176986,0.49065255731922397,0.15622442676892587,0.22351087518720147,0.9215312595179719
532,533,0.8866741287782604,0.9419897018176986,0.4716931216931216,0.14151854344217957,0.20794918338850005,0.897091528046346
533,534,0.9024267066036409,0.9623014479174987,0.4824514991181659,0.1498632772368916,0.2167795387347401,0.9109596547418736
534,535,0.8717293754567457,0.9644026630312712,0.5211640211640212,0.17989063900638738,0.2485543419888326,0.9608621762118444
535,536,0.8862702165263276,0.9721071184484368,0.5365961199294532,0.19186054403978553,0.261220835313357,0.9807549808980516
536,537,0.8904949932146016,0.9674377515289424,0.5415343915343914,0.19569091365047295,0.26527411317720484,0.9871206783976378
537,538,0.906838651239757,0.9742083335622094,0.5541446208112875,0.20547203604919262,0.2756244477223877,1.00337594165551
538,539,0.9005267338767979,0.9632353213013978,0.5509700176366842,0.2030096555851792,0.27301876909562833,0.9992837075486329
539,540,0.8941643211749348,0.958099017689954,0.5402998236331568,0.194733321247801,0.26426079371124284,0.985529254022741
540,541,0.9005940609953361,0.9594998277658023,0.534126984126984,0.1899453592344418,0.25919419638143315,0.9775721321482583
541,542,0.9135040359750415,0.9623014479174987,0.5109347442680775,0.1719563019556778,0.24015826641371937,0.94767608853413
542,543,0.8964197796459658,0.9373203348982041,0.49100529100529094,0.15649802459826084,0.22380039503461938,0.9219859521965141
543,544,0.9142614660585966,0.9424566385096479,0.5088183421516752,0.17031471497966885,0.23842114732921313,0.9449479324628787
544,545,0.9017891173493897,0.9237791708316706,0.5004409171075835,0.1638167665329671,0.23154505095304284,0.9341489813475092
545,546,0.8957801720198524,0.9268142593293418,0.4989417989417986,0.16265397575829402,0.2303145916015175,0.932216537463706
546,547,0.9179644575781993,0.9545969925003331,0.5268077601410931,0.18426820427574434,0.2531866595475158,0.9681372590685142
547,548,0.9460230342290069,0.9403554233958754,0.5428571428571427,0.19671690551047855,0.2663598126050213,0.9888257759421699
548,549,0.9962490646585265,0.9438574485854964,0.5429453262786593,0.1967853049678122,0.26643219256687567,0.9889394491118052
549,550,1.0127947040392964,0.9580990176899541,0.5351851851851849,0.19076615272244632,0.2600627559236863,0.9789362101838839
550,551,1.0090412171807899,0.9816793206334002,0.5261904761904758,0.1837894080744085,0.2526799998145348,0.9673415468810659
551,552,0.9546240736222654,0.945725195353294,0.49453262786596075,0.15923400289160888,0.2266955935087962,0.9265328789819324
552,553,0.9806796684965606,0.9651030680691955,0.5154320987654316,0.17544467427969665,0.24384964446829496,0.9534734201855386
553,554,0.9564419058227976,0.9672042831829681,0.5083774250440914,0.16997271769300046,0.23805924751994106,0.9443795666147013
554,555,0.9086396516606544,0.892961349163008,0.4973544973544971,0.1614227855262875,0.22901175228813792,0.9301704204102678
555,556,0.9214654677421872,0.9048682348077186,0.4959435626102288,0.16032839420894807,0.22785367289846692,0.9283516496961001
556,557,0.9396101261882401,0.9326509679787098,0.49038800705467334,0.15601922839692475,0.22329373530163815,0.9211902400090656
557,558,0.952132970236351,0.9258803859454429,0.49312169312169274,0.1581396115742696,0.22553751411912537,0.9247141082677652
