,DAY_NO,FTRL_OPG_CUMILATIVE_GAIN,FTRL_RDA_CUMILATIVE_GAIN,FTL_CUMILATIVE_GAIN,FTRL_EXP_RDA_CUMILATIVE_GAIN,FTRL_MOVING_RDA_CUMILATIVE_GAIN,SGD_CUMILATIVE_GAIN
131,132,-0.1467367210356783,0.00757731348669589,0.008107576931511873,0.07284230920594535,0.06581173561568486,0.25285647489294444
132,133,-0.14724853569495233,0.005038878649767007,0.007502881700017761,0.1266766903130537,0.11929332808385541,0.2799745804101078
133,134,-0.15441394092478827,-0.010735680694005222,-0.000962851540899459,0.11866562169592448,0.11133475777609193,0.2690170397606853
134,135,-0.13151876516659816,-0.0005819413462898214,0.026087181814602813,0.10777056837662885,0.10051110215753373,0.28490965596977147
135,136,-0.14062906610167525,-0.012548848434668728,0.015323606694008084,0.13564908716423846,0.12820692682855053,0.29724035967962614
136,137,-0.13158700712116805,-0.013274115530934105,0.026006555783736895,0.12827890403647968,0.12088504214540823,0.2961310529467528
137,138,-0.13373662869011882,-0.015268600045663924,0.02346683581146174,0.12956067501522034,0.12215841339465035,0.29283726526299003
138,139,-0.15594938490261023,-0.00910382972740816,-0.002776937235381677,0.12763801854710927,0.12024835652078704,0.3044081877997316
139,140,-0.14707793080852766,0.003588344457236251,0.007704446777182506,0.11033411033411018,0.10305784465601796,0.3288958197363629
140,141,-0.15281025499239645,0.0037696612313025627,0.0009318601844486838,0.11898606444060984,0.11165310058840261,0.33488687757041424
141,142,-0.13418020139482295,0.009027847679226639,0.02294276661083355,0.12827890403647974,0.12088504214540821,0.34282330763218916
142,143,-0.14076555001081506,0.02371450637860087,0.015162354632276246,0.10136171348292544,0.09414424591132282,0.35604495250733675
143,144,-0.13421432237210784,0.02244528896013643,0.02290245359540065,0.08630090448272254,0.07918213373272752,0.33636742634549593
144,145,-0.14195978421578767,0.007939947034828641,0.013751399092123397,0.10456614092977717,0.09732767403442825,0.3340777404491487
145,146,-0.15478927167492249,0.011384965742089212,-0.0014062947106617259,0.108091011121314,0.10082944496984417,0.34965782490807573
146,147,-0.17850335088795105,-0.06114174388445,-0.029423840436554577,0.0930302021211111,0.08586733279124886,0.3396231942396142
147,148,-0.17495476925031794,-0.07193818197225532,-0.025231286831528813,0.09847772878075903,0.09127916060052808,0.3476852284541037
148,149,-0.20730145571643457,-0.08387065977073144,-0.0634480254619553,0.11866562169592453,0.1113347577760919,0.3171076031901391
149,150,-0.2075215886084877,-0.08153196802264094,-0.10279352852450396,0.21351667412273453,0.2055642302200115,0.31000792891566753
150,151,-0.22258851377885708,-0.0842958764522025,-0.14725878454703595,0.19044479650540241,0.1826435477336527,0.28022924397926485
151,152,-0.21648539166179884,-0.08068153465969898,-0.13355235929983658,0.16673203339869985,0.15908617962267277,0.28534972516954876
152,153,-0.21753765409577436,-0.08450848479293797,-0.15778048157503313,0.18916302552666175,0.1813701764844106,0.2972067259399577
153,154,-0.23187450164155182,-0.08748500156323498,-0.15870768092999069,0.21479844510147517,0.20683760146925362,0.2863665583137187
154,155,-0.23331063371647415,-0.08068153465969898,-0.1576192295133013,0.22697526939951168,0.21893462833705418,0.291686774585893
155,156,-0.24028613236609672,-0.07494110945984057,-0.16439181610603512,0.26222397131488034,0.2539523376912135,0.29775145798147745
156,157,-0.264780588113623,-0.07451589277836951,-0.16306148659674807,0.2215277427398638,0.21352280052777495,0.31676260623050984
157,158,-0.2584533048004084,-0.06601155914894954,-0.16032020154730828,0.23274323880384476,0.22466479895864386,0.3239349114438508
158,159,-0.23301326223762134,-0.06792503421556896,-0.1749538261494652,0.21127357490993837,0.20333583053383766,0.34254658952910233
